model,in_domain_macro_f1,cross_domain_macro_f1,drop_absolute,drop_relative_pct
tfidf_lr,0.6791908229702049,0.4772420798886577,0.20194874308154726,29.733726701193437
tfidf_svc,0.6555426660705965,0.4468485703947549,0.20869409567584163,31.83531850440487
cnn,0.622899721040845,0.4449884169700502,0.1779113040707948,28.561789010518556
lstm,0.5881595847014546,0.4363310512147527,0.1518285334867019,25.814173131900745
gru,0.6018271780852985,0.4278126357428962,0.17401454234240232,28.91437088235633
distilbert,0.7042803712690793,0.4919938544098206,0.2122865168592587,30.142330458071495
bert,0.7152380337897464,0.5120882106692776,0.2031498231204688,28.403106871157714
roberta,0.7269889530520811,0.5416958810375204,0.1852930720145607,25.487742452846653
