timestamp,model,source_config,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,negative_precision,negative_recall,negative_f1,neutral_precision,neutral_recall,neutral_f1,positive_precision,positive_recall,positive_f1
2026-04-14T09:45:20,distilbert,twitter,0.8333333333333334,0.7846637185283717,0.7789954375313234,0.7907793802102745,0.8341569648818593,0.8352605096817344,0.8333333333333334,0.9044394281414597,0.8883961566888396,0.8963460104399702,0.6781609195402298,0.6876456876456877,0.6828703703703703,0.7543859649122807,0.7962962962962963,0.7747747747747747
2026-04-14T10:05:24,distilbert,skytrax,0.818346299981907,0.6941744248561452,0.6958817738676245,0.6926490604053166,0.8175341327481208,0.8169380449496498,0.818346299981907,0.8493449781659389,0.8259023354564756,0.83745963401507,0.33695652173913043,0.332312404287902,0.3346183500385505,0.901343821697804,0.919732441471572,0.9104452905148154
2026-04-14T10:17:38,distilbert,airlinequality,0.8264117119808784,0.634002970422721,0.650727363942199,0.6491847668978618,0.8236439797661478,0.8344442264509807,0.8264117119808784,0.9372217275155833,0.8723580605055947,0.9036273878514702,0.3884297520661157,0.2079646017699115,0.27089337175792505,0.6265306122448979,0.867231638418079,0.7274881516587678
2026-04-14T10:45:01,distilbert,twitter+skytrax,0.8295558758024368,0.7495089691725131,0.7548967075904095,0.7458275343213293,0.825975508758864,0.8235118388086943,0.8295558758024368,0.8713119899560577,0.8575841828853877,0.8643935855519228,0.5162303664921466,0.455637707948244,0.4840451644575356,0.877147766323024,0.9242607121303561,0.9000881575080811
2026-04-14T11:04:34,distilbert,twitter+airlinequality,0.8294516779754264,0.7302525929077897,0.7337180306208735,0.7326951648769211,0.8288182895594707,0.8309919493718688,0.8294516779754264,0.9111051067279113,0.8953797132235793,0.9031739654479711,0.6131386861313869,0.5129770992366413,0.5586034912718204,0.6769102990033222,0.7897286821705426,0.7289803220035778
2026-04-14T11:36:51,distilbert,skytrax+airlinequality,0.8293892269551498,0.72098667292133,0.7212021612079887,0.7214512391463401,0.8290966347177529,0.8296956890154982,0.8293892269551498,0.8962080700048615,0.8580404933674657,0.8767090714540483,0.4168591224018476,0.41069397042093286,0.41375358166189113,0.8505392912172574,0.895619253650622,0.8724973656480506
2026-04-14T12:16:24,distilbert,twitter+skytrax+airlinequality,0.8265938069216757,0.7374008092791695,0.7400163721993879,0.7359676106959968,0.8247396359469337,0.8237628083146263,0.8265938069216757,0.8914855072463768,0.8709734513274336,0.8811101163831692,0.49206349206349204,0.4503058103975535,0.47025948103792414,0.8365001172882947,0.8866235703630034,0.8608328304164152
2026-04-14T12:20:22,bert,twitter,0.8309591642924976,0.7730208435147171,0.7758367122915496,0.7715600168174693,0.829087925297334,0.8280718270815549,0.8309591642924976,0.8918722786647315,0.9083518107908352,0.9000366166239473,0.6863753213367609,0.6223776223776224,0.6528117359413202,0.7492625368731564,0.7839506172839507,0.7662141779788839
2026-04-14T12:57:46,bert,skytrax,0.8270309390265967,0.7110940995128449,0.7166522588536703,0.7069465642211502,0.8253873496851367,0.8254238692160295,0.8270309390265967,0.8772334293948126,0.807855626326964,0.8411163304780326,0.38341158059467917,0.37519142419601836,0.37925696594427244,0.8893117665715192,0.9377926421404682,0.9129090021162298
2026-04-14T13:20:30,bert,airlinequality,0.8243202868240215,0.6615991583416769,0.652075370413201,0.6747124603294633,0.8277078559455509,0.8340134000952019,0.8243202868240215,0.927916120576671,0.8802320762536262,0.9034453424074862,0.36444444444444446,0.36283185840707965,0.36363636363636365,0.6638655462184874,0.7810734463276836,0.7177157689811811
