timestamp,model,train_source,test_source,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,negative_precision,negative_recall,negative_f1,neutral_precision,neutral_recall,neutral_f1,positive_precision,positive_recall,positive_f1
2026-04-15T19:50:36,roberta,twitter,skytrax,0.7457933779627284,0.5267120495493284,0.510260032553872,0.5785776840470831,0.7079610657683107,0.5919297103807354,0.9654989384288747,0.7339116401049022,0.0,0.0,0.0,0.9388503872808805,0.7702341137123746,0.8462245085430828
2026-04-15T19:50:46,roberta,twitter,airlinequality,0.7798028084852107,0.5058036943363874,0.47905068478926083,0.5415190630163201,0.7578621122476431,0.8590436590436591,0.8561956071280563,0.8576172685761727,0.0,0.0,0.0,0.5781083953241233,0.768361581920904,0.6597938144329897
2026-04-15T19:51:05,roberta,skytrax,twitter,0.6604938271604939,0.5598697944286375,0.5469686253602595,0.61777405070088,0.662854147564,0.8656330749354005,0.7427937915742794,0.7995226730310262,0.311046511627907,0.2494172494172494,0.276843467011643,0.46422628951747086,0.8611111111111112,0.6032432432432432
2026-04-15T19:51:15,roberta,skytrax,airlinequality,0.8084852106363908,0.6781604061762803,0.6729355384818567,0.714691118255249,0.8165839433570417,0.9640748031496063,0.8118524658101948,0.8814398200224972,0.46938775510204084,0.40707964601769914,0.43601895734597157,0.5853440571939231,0.9251412429378532,0.7170224411603722
2026-04-15T19:51:31,roberta,airlinequality,twitter,0.6452991452991453,0.3309640354180078,0.4469588036523115,0.3659384126863801,0.5399333101623248,0.6623049823855058,0.9726533628972653,0.7880239520958083,0.2857142857142857,0.023310023310023312,0.04310344827586207,0.39285714285714285,0.10185185185185185,0.16176470588235295
2026-04-15T19:51:47,roberta,airlinequality,skytrax,0.7573728966889813,0.6486653063164812,0.6567743699076721,0.6514380914956323,0.7535382479687576,0.6919758412424504,0.851380042462845,0.763445978105664,0.398406374501992,0.30627871362940273,0.3463203463203463,0.8799408939785741,0.7966555183946489,0.8362295945234334
2026-04-15T19:51:49,tfidf_lr,twitter,skytrax,0.5158313732585489,0.3586518744490012,0.45525527496338447,0.43969731613043717,0.4649559226007927,0.41571779415048,0.9883227176220807,0.5852585258525853,0.0,0.0,0.0,0.9500480307396734,0.33076923076923076,0.49069709749441826
2026-04-15T19:51:50,tfidf_lr,twitter,airlinequality,0.7188527039139528,0.3873645690834473,0.40993046424298424,0.39291213709793854,0.66737655257766,0.7508440243079001,0.9216742644011604,0.8275348837209302,0.0,0.0,0.0,0.4789473684210526,0.2570621468926554,0.33455882352941174
2026-04-15T19:51:51,tfidf_lr,skytrax,twitter,0.6481481481481481,0.49762239592795066,0.4927847571654429,0.5199482841759265,0.6288920861160374,0.7767669699090273,0.8203991130820399,0.7979870596693026,0.2571428571428571,0.14685314685314685,0.18694362017804153,0.4444444444444444,0.5925925925925926,0.5079365079365079
2026-04-15T19:51:52,tfidf_lr,skytrax,airlinequality,0.7887660591574545,0.648258340442613,0.626016811194381,0.6889892502888325,0.8009046604609031,0.9425011978917106,0.8151678408619976,0.8742222222222222,0.3448275862068966,0.4424778761061947,0.3875968992248062,0.5907216494845361,0.809322033898305,0.6829558998808105
